deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.24936199;12.57006001;-0.00202449;-0.01666493;-1.49407125;-0.00028977;0.00008266;0.00281885 
0.25498509;12.82504511;-0.00210641;-0.01667028;-1.49395168;0.00007676;0.00033293;0.00017856 
0.24825931;13.07330441;-0.00210292;-0.01668604;-1.49379945;0.00079404;0.00015973;-0.00013245 
0.28246832;13.35577273;-0.00194799;-0.01658187;-1.49364185;-0.00011600;-0.00072319;0.00192907 
0.21418691;13.56995964;-0.00188981;-0.01654666;-1.49340391;-0.00004565;-0.00061490;0.00343147 
0.24996090;13.81992054;-0.00188404;-0.01655776;-1.49323642;-0.00077861;-0.00048158;0.00129860 
0.25005484;14.06997538;-0.00184908;-0.01641664;-1.49302888;0.00105290;-0.00043015;0.00206359 
0.26013637;14.33011174;-0.00195718;-0.01646801;-1.49294066;-0.00004044;-0.00005095;0.00138026 
0.25004911;14.58016086;-0.00210462;-0.01654409;-1.49264276;-0.00190204;-0.00192064;0.00197635 
0.23971510;14.81987596;-0.00210433;-0.01654630;-1.49271822;-0.00120759;-0.00011152;-0.00650944 
0.25000548;15.06988144;-0.00204483;-0.01648522;-1.49270642;0.00077055;-0.00012736;-0.00193664 
0.25501943;15.32490087;-0.00206379;-0.01636293;-1.49239492;-0.00029565;-0.00098591;0.00550787 
0.24540663;15.57030749;-0.00211911;-0.01644399;-1.49225116;0.00116268;-0.00195163;0.00556459 
0.25338006;15.82368755;-0.00211022;-0.01655382;-1.49205863;0.00064721;-0.00032269;0.00323371 
0.25149441;16.07518196;-0.00211785;-0.01657243;-1.49194872;-0.00001405;0.00048951;-0.00311660 
0.24786353;16.32304549;-0.00206802;-0.01638769;-1.49189019;-0.00044599;-0.00032114;0.00008830 
0.24704456;16.57009006;-0.00208794;-0.01648271;-1.49184871;0.00009257;-0.00044780;-0.00203580 
0.24995255;16.82004261;-0.00226162;-0.01654705;-1.49162173;-0.00055738;-0.00009853;0.00402960 
0.25013328;17.07017589;-0.00221575;-0.01663886;-1.49145675;0.00130236;-0.00104718;0.00287076 
0.24987531;17.32005119;-0.00238504;-0.01662662;-1.49120700;0.00001178;0.00003834;0.00465332 
0.24996090;17.57001209;-0.00247120;-0.01654417;-1.49101222;-0.00017908;-0.00013663;0.00239410 
0.25310922;17.82312131;-0.00256728;-0.01643034;-1.49086523;-0.00088504;-0.00065946;-0.00078082 
0.24841166;18.07153296;-0.00255397;-0.01643877;-1.49071467;-0.00029121;-0.00045203;0.00253309 
0.26362872;18.33516169;-0.00259586;-0.01651949;-1.49064040;-0.00085423;-0.00113927;0.00019561 
0.25861382;18.59377551;-0.00267776;-0.01656923;-1.49044096;0.00035728;0.00007409;0.00124443 
0.22590137;18.81967688;-0.00263669;-0.01641697;-1.49024045;-0.00056794;-0.00031597;0.00007502 
0.24993396;19.06961083;-0.00261124;-0.01636420;-1.49015248;-0.00083971;-0.00038194;-0.00322819 
0.25322986;19.32284069;-0.00243511;-0.01632392;-1.48993385;0.00088727;-0.00041294;0.00194826 
0.26439977;19.58724046;-0.00234749;-0.01621752;-1.48979604;-0.00115052;-0.00008593;0.00128607 
0.23375845;19.82099891;-0.00225451;-0.01609926;-1.48964918;-0.00019194;-0.00041487;-0.00249633 
0.25352764;20.07452655;-0.00238509;-0.01617819;-1.48956311;-0.00143523;-0.00015995;0.00414181 
0.24494290;20.31946945;-0.00236288;-0.01617555;-1.48930013;0.00014269;0.00008555;0.00124906 
0.26343989;20.58290935;-0.00221815;-0.01641125;-1.48918009;0.00121039;-0.00070311;0.00180722 
0.23652005;20.81942940;-0.00228661;-0.01646923;-1.48900127;0.00066892;-0.00099329;0.00277157 
